bc,co,date,location,no2,o3,pm10,pm25,so2
"","",2022-04-29,Troost,0.006,"",22.9912,8.5168,0.001
"","",2022-04-29,Ladue,"","","",9.1159,""
"","",2022-04-29,Cranberry,"",0.0562,"","",""
"","",2022-04-29,MORGANTOWN,"",0.0385,"","",""
"","",2022-04-29,Stanfield,"","",46.8447,"",""
"","",2022-04-29,Paradise Road,"",0.0386,"","",""
"",0.1103,2022-04-29,Londonderry - Moose,"",0.0457,8.8816,3.7237,0.0
"","",2022-04-29,Whiteface Mtn,"",0.0467,"",3.4939,""
"","",2022-04-29,Fresh Kills,"",0.0368,"",3.0375,""
"","",2022-04-29,Oakridge - Willamett,"","","",1.8832,""
"","",2022-04-29,Sweet Home - Fire De,"","","",3.6824,""
"",0.0048,2022-04-29,Underhill,"",0.0469,"",3.6808,0.0
"","",2022-04-29,Lancaster-Division,"",0.0568,33.1869,8.8972,""
"","",2022-04-29,Las Flores Canyon,"",0.0437,26.824,"",""
"","",2022-04-29,Denver - NJH - 14th,"","",43.6064,8.8479,""
"","",2022-04-29,Ute 3,0.0012,0.0564,46.9603,"",""
"","",2022-04-29,Crystal River Preser,"","","",10.9471,4.0E-4
